,impute_scale__school_id,impute_scale__age_at_enrollment,impute_scale__gender,impute_scale__resource_dilution_index,impute_scale__socioeconomic_status_index,impute_scale__commute_barrier_score,impute_scale__digital_equity_access_score,impute_scale__nutritional_support_access,impute_scale__gpa_trend,impute_scale__failed_subjects_count,impute_scale__strength_science_indicator,impute_scale__chronic_health_risk_score,impute_scale__health_related_absences,impute_scale__social_integration_score,impute_scale__cash_flow_volatility,impute_scale__psychosocial_support_access,impute_scale__ses_disadvantage_score,impute_scale__academic_risk_index,impute_scale__health_burden_index,impute_scale__absence_intensity,impute_scale__household_pressure_index,impute_scale__support_coverage_score,impute_scale__economic_instability_index,impute_scale__barrier_burden_index,impute_scale__ses_commute_interaction,impute_scale__academic_ses_interaction,impute_scale__health_commute_interaction,impute_scale__long_commute_flag,impute_scale__high_academic_risk_flag,impute_scale__no_digital_access_flag,impute_scale__low_social_integration_flag,impute_scale__stem_resilience_flag,passthrough__cash_flow_volatility_missing,passthrough__commute_barrier_score_missing,passthrough__digital_equity_access_score_missing,passthrough__psychosocial_support_access_missing,passthrough__any_survey_missing
259,0.3446913995740618,-0.7365752518455452,-1.0080322575483704,-0.35543859307757086,-0.445960232374257,0.4940473835203229,-0.8149608300648491,0.5968573514759201,-0.18731198861004297,-0.5615197653706532,-0.4277444326750994,0.9421167085968966,0.5241351435917889,-1.1203310048245632,-0.43208221213502385,-0.5783766704784492,0.445960232374257,-0.25220344966685443,0.4858607895134778,-0.18546836635056735,-0.07013019566846333,-0.55246057368553,0.09151256466222063,0.9503172163636151,0.5771319810976939,-0.41882013159330606,0.8576320958873903,1.4803679818552302,-0.6050786879235088,1.0408329997330665,1.3850227210205581,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
798,0.8795573644303645,-0.033736271076895225,0.9920317455237933,-1.7201772183754112,1.0778218827997421,0.6055987329697384,-0.8149608300648491,-1.6754422099806283,1.1429495989491627,-1.285127710435928,-0.4277444326750994,-0.5939431423763045,-0.192331486469891,-1.1203310048245632,0.017656644968489975,-0.5783766704784492,-1.0778218827997421,-1.2988898687636792,-0.425318019742888,0.5496528743225574,-1.8591657994557957,-2.0402359067704405,0.10284725221249368,0.29487041172740946,-0.2597336764895654,-1.068153668947269,0.2920952985441841,1.4803679818552302,-0.6050786879235088,1.0408329997330665,1.3850227210205581,-0.3157637485020014,1.0,0.0,0.0,0.0,1.0
655,-0.011885910330140019,0.6691027096917547,0.9920317455237933,0.5543871571209893,-1.2078512899612566,1.7632602575450174,-0.8149608300648491,0.5968573514759201,-0.1766874906659313,0.8856961247598962,2.3378445716897667,0.9421167085968966,0.762957353612349,-1.1203310048245632,0.861134610798782,-0.5783766704784492,1.2078512899612566,0.6146064192267156,0.6377239243895387,0.059572047207140884,1.0032911666039361,-0.55246057368553,1.18799640270588,1.7911504125421376,2.412383293720136,1.3668470961300918,2.402063291803386,1.4803679818552302,1.6526776102985388,1.0408329997330665,1.3850227210205581,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
621,-1.0816178400427454,-0.7365752518455452,0.9920317455237933,1.0093000322202692,-0.445960232374257,-0.9891985191175096,-0.8149608300648491,0.5968573514759201,-0.023185610450355394,-0.5615197653706532,2.3378445716897667,-0.5939431423763045,0.762957353612349,0.11351371414522002,0.6279699289178818,1.7289770681323857,0.445960232374257,-0.3275685594906804,-0.12159174999076611,2.5099761827842233,1.0032911666039361,0.1914270928569252,0.5731827220786813,0.11018669322846389,-0.7245807885557016,-0.41882013159330606,-0.48763402200610506,-0.6755077198756877,-0.6050786879235088,-0.9607689228305228,-0.7220098160289725,-0.3157637485020014,0.0,0.0,1.0,0.0,1.0
96,-1.0816178400427454,1.3719416904604045,0.9920317455237933,1.4642129073195493,1.0778218827997421,-0.271661028279442,0.4855085796131015,-1.6754422099806283,0.8116077556445565,0.16208817969462153,-0.4277444326750994,-0.5939431423763045,-0.192331486469891,0.11351371414522002,-0.05423911857994678,-0.5783766704784492,-1.0778218827997421,-0.2750526459904894,-0.425318019742888,0.5496528743225574,0.6454840458464697,-1.2963482402279851,-0.7545367963641991,-0.9181608837101032,-0.6446800402348821,-0.41882013159330606,-0.26050484146635433,-0.6755077198756877,-0.6050786879235088,-0.9607689228305228,-0.7220098160289725,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
309,0.7012687094782636,1.3719416904604045,0.9920317455237933,1.4642129073195493,-1.2078512899612566,2.98558253461872,-0.8149608300648491,0.5968573514759201,0.3675618141731121,-1.285127710435928,-0.4277444326750994,-0.5939431423763045,0.5241351435917889,-1.1203310048245632,0.11931791083201888,-0.5783766704784492,1.2078512899612566,-0.9428399381495801,-0.19752331742879659,2.019895355668807,1.718905408118869,-0.55246057368553,0.8509271654396383,2.26450207449594,3.7532874838724486,-1.068153668947269,3.2118196481198362,1.4803679818552302,-0.6050786879235088,1.0408329997330665,1.3850227210205581,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
481,1.0578460193824655,1.3719416904604045,0.9920317455237933,0.5543871571209893,-1.2078512899612566,0.10993728302990691,-0.8149608300648491,0.5968573514759201,-0.7402222509584973,0.16208817969462153,-0.4277444326750994,-0.5939431423763045,-0.431153696490451,0.11351371414522002,0.4975253268754267,-0.5783766704784492,1.2078512899612566,0.43753140166184373,-0.5012495871809185,0.059572047207140884,1.0032911666039361,-0.55246057368553,1.0227783589486268,1.1508911352534001,0.5986654667736503,0.5551801744376382,-0.1917386183997742,-0.6755077198756877,-0.6050786879235088,1.0408329997330665,-0.7220098160289725,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
13,1.5927119842387683,-0.7365752518455452,0.9920317455237933,-1.7201772183754112,-0.445960232374257,0.8012870650798656,-0.8149608300648491,0.5968573514759201,-0.3029506140130832,-0.5615197653706532,-0.4277444326750994,-0.5939431423763045,-1.147620326552131,0.11351371414522002,0.6489504182651269,-0.5783766704784492,0.445960232374257,-0.19910340687606673,-0.72904428949501,-1.4106704341391085,-1.1435515579408628,-0.55246057368553,0.5827159093769252,1.069297633077068,0.8467688741570596,-0.41882013159330606,-0.561400686226766,1.4803679818552302,-0.6050786879235088,1.0408329997330665,-0.7220098160289725,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
834,1.5927119842387683,-0.7365752518455452,-1.0080322575483704,-1.7201772183754112,1.8397129403867416,-0.38993727312119,1.7859779892910521,0.5968573514759201,0.12137727054904263,-1.285127710435928,-0.4277444326750994,-0.5939431423763045,-0.9087981165315709,0.11351371414522002,-0.1834099826919435,-0.5783766704784492,-1.8397129403867416,-0.8297945802053225,-0.6531127220569795,-0.9205896070236921,-2.216972920213262,0.9353147593993804,-1.322097406472307,-2.1865941104406152,-0.9455391575618749,-1.068153668947269,-0.6923956346167959,-0.6755077198756877,-0.6050786879235088,-0.9607689228305228,-0.7220098160289725,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
723,-1.0816178400427454,0.6691027096917547,0.9920317455237933,1.4642129073195493,-0.445960232374257,0.6070250733566037,-0.8149608300648491,-1.6754422099806283,0.6591789749273229,-0.5615197653706532,-0.4277444326750994,-0.5939431423763045,-0.192331486469891,-1.1203310048245632,0.017656644968489975,-0.5783766704784492,0.445960232374257,-0.640903213514682,-0.425318019742888,0.5496528743225574,1.3610982873614026,-2.0402359067704405,0.10284725221249368,0.9940685070426445,0.6762824330114899,-0.41882013159330606,0.2929937734683753,1.4803679818552302,-0.6050786879235088,1.0408329997330665,1.3850227210205581,-0.3157637485020014,1.0,0.0,0.0,0.0,1.0
287,-0.36846322023434186,-1.439414232614195,-1.0080322575483704,-0.8103514681768509,1.0778218827997421,-0.18410874719282788,-0.8149608300648491,0.5968573514759201,0.8198358151404764,-0.5615197653706532,-0.4277444326750994,-0.5939431423763045,0.28531293357122894,-1.1203310048245632,-0.35127238770214697,-0.5783766704784492,-1.0778218827997421,-0.7146751479372688,-0.27345488486682706,1.5298145285533904,-1.1435515579408628,-0.55246057368553,-0.8895038003022396,-0.01094856515258142,-0.6062616221896859,-0.7434869002702875,0.0761217804270965,-0.6755077198756877,-0.6050786879235088,1.0408329997330665,1.3850227210205581,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
748,-0.7250405301385436,-1.439414232614195,-1.0080322575483704,-0.35543859307757086,-1.2078512899612566,-0.9437209361223888,-0.8149608300648491,0.5968573514759201,0.14353358412241127,-1.285127710435928,-0.4277444326750994,-0.5939431423763045,-0.9087981165315709,0.11351371414522002,-0.5515168753761193,1.7289770681323857,1.2078512899612566,-0.8399685267974016,-0.6531127220569795,-0.9205896070236921,0.28767692508900317,0.9353147593993804,0.5461109355961046,0.7428556453324806,-0.5572119540585855,-1.068153668947269,-0.8668142864390626,-0.6755077198756877,-0.6050786879235088,1.0408329997330665,-0.7220098160289725,-0.3157637485020014,0.0,0.0,0.0,0.0,0.0
